2010 (83rd),Actor -- Leading Role,Javier Bardem,NO
2010 (83rd),Actor -- Leading Role,Jeff Bridges,NO
2010 (83rd),Actor -- Leading Role,Jesse Eisenberg,NO
2010 (83rd),Actor -- Leading Role,Colin Firth,YES
2010 (83rd),Actor -- Leading Role,James Franco,NO
2010 (83rd),Actor -- Supporting Role,Christian Bale,YES
2010 (83rd),Actor -- Supporting Role,John Hawkes,NO
2010 (83rd),Actor -- Supporting Role,Jeremy Renner,NO
2010 (83rd),Actor -- Supporting Role,Mark Ruffalo,NO
2010 (83rd),Actor -- Supporting Role,Geoffrey Rush,NO
2010 (83rd),Actress -- Leading Role,Annette Bening,NO
2010 (83rd),Actress -- Leading Role,Nicole Kidman,NO
2010 (83rd),Actress -- Leading Role,Jennifer Lawrence,NO
2010 (83rd),Actress -- Leading Role,Natalie Portman,YES
2010 (83rd),Actress -- Leading Role,Michelle Williams,NO
2010 (83rd),Actress -- Supporting Role,Amy Adams,NO
2010 (83rd),Actress -- Supporting Role,Helena Bonham Carter,NO
2010 (83rd),Actress -- Supporting Role,Melissa Leo,YES
2010 (83rd),Actress -- Supporting Role,Hailee Steinfeld,NO
2010 (83rd),Actress -- Supporting Role,Jacki Weaver,NO
2010 (83rd),Animated Feature Film,How to Train Your Dragon,NO
2010 (83rd),Animated Feature Film,The Illusionist,NO
2010 (83rd),Animated Feature Film,Toy Story 3,YES
2010 (83rd),Art Direction,Alice in Wonderland,YES
2010 (83rd),Art Direction,Harry Potter and the Deathly Hallows Part 1,NO
2010 (83rd),Art Direction,Inception,NO
2010 (83rd),Art Direction,The King's Speech,NO
2010 (83rd),Art Direction,True Grit,NO
2010 (83rd),Cinematography,Black Swan,NO
2010 (83rd),Cinematography,Inception,YES
2010 (83rd),Cinematography,The King's Speech,NO
2010 (83rd),Cinematography,The Social Network,NO
2010 (83rd),Cinematography,True Grit,NO
2010 (83rd),Costume Design,Alice in Wonderland,YES
2010 (83rd),Costume Design,I Am Love,NO
2010 (83rd),Costume Design,The King's Speech,NO
2010 (83rd),Costume Design,The Tempest,NO
2010 (83rd),Costume Design,True Grit,NO
2010 (83rd),Directing,Black Swan,NO
2010 (83rd),Directing,The Fighter,NO
2010 (83rd),Directing,The King's Speech,YES
2010 (83rd),Directing,The Social Network,NO
2010 (83rd),Directing,True Grit,NO
2010 (83rd),Documentary (Feature),Exit through the Gift Shop,NO
2010 (83rd),Documentary (Feature),Gasland,NO
2010 (83rd),Documentary (Feature),Inside Job,YES
2010 (83rd),Documentary (Feature),Restrepo,NO
2010 (83rd),Documentary (Feature),Waste Land,NO
2010 (83rd),Documentary (Short Subject),Killing in the Name,NO
2010 (83rd),Documentary (Short Subject),Poster Girl,NO
2010 (83rd),Documentary (Short Subject),Strangers No More,YES
2010 (83rd),Documentary (Short Subject),Sun Come Up,NO
2010 (83rd),Documentary (Short Subject),The Warriors of Qiugang,NO
2010 (83rd),Film Editing,Black Swan,NO
2010 (83rd),Film Editing,The Fighter,NO
2010 (83rd),Film Editing,The King's Speech,NO
2010 (83rd),Film Editing,127 Hours,NO
2010 (83rd),Film Editing,The Social Network,YES
2010 (83rd),Foreign Language Film,Biutiful,NO
2010 (83rd),Foreign Language Film,Dogtooth,NO
2010 (83rd),Foreign Language Film,In a Better World,YES
2010 (83rd),Foreign Language Film,Incendies,NO
2010 (83rd),Foreign Language Film,Outside the Law (Hors-la-loi),NO
2010 (83rd),Makeup,Barney's Version,NO
2010 (83rd),Makeup,The Way Back,NO
2010 (83rd),Makeup,The Wolfman,YES
2010 (83rd),Music (Scoring),How to Train Your Dragon,NO
